controller,method,route,col3,col4,param,col6,annotation,request
JDBC,safe2,/SQLI/JDBC/safe2,,GetMapping,id,String,no AnAnnotation,
JDBC,safe2,/SQLI/JDBC/safe2,"""""",GetMapping,id,String,no AnAnnotation,
JDBC,safe2,/SQLI/JDBC/safe2,{...},GetMapping,id,String,no AnAnnotation,
JDBC,safe3,/SQLI/JDBC/safe3,,GetMapping,id,String,no AnAnnotation,
JDBC,safe3,/SQLI/JDBC/safe3,"""""",GetMapping,id,String,no AnAnnotation,
JDBC,safe3,/SQLI/JDBC/safe3,{...},GetMapping,id,String,no AnAnnotation,
JDBC,safe4,/SQLI/JDBC/safe4,,GetMapping,id,Integer,no AnAnnotation,
JDBC,safe4,/SQLI/JDBC/safe4,"""""",GetMapping,id,Integer,no AnAnnotation,
JDBC,safe4,/SQLI/JDBC/safe4,{...},GetMapping,id,Integer,no AnAnnotation,
SSRF,URLConnection,/SSRF/URLConnection/vul,,GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection,/SSRF/URLConnection/vul,,GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection,/SSRF/URLConnection/vul,"""""",GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection,/SSRF/URLConnection/vul,"""""",GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection,/SSRF/URLConnection/vul,{...},GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection,/SSRF/URLConnection/vul,{...},GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection2,/SSRF/URLConnection/vul2,,GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection2,/SSRF/URLConnection/vul2,,GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection2,/SSRF/URLConnection/vul2,"""""",GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection2,/SSRF/URLConnection/vul2,"""""",GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection2,/SSRF/URLConnection/vul2,{...},GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection2,/SSRF/URLConnection/vul2,{...},GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection3,/SSRF/URLConnection/safe,,GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection3,/SSRF/URLConnection/safe,,GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection3,/SSRF/URLConnection/safe,"""""",GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection3,/SSRF/URLConnection/safe,"""""",GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,URLConnection3,/SSRF/URLConnection/safe,{...},GetMapping,url,String,no AnAnnotation,
SSRF,URLConnection3,/SSRF/URLConnection/safe,{...},GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
