AffairController, searchAffair, /affair/searchAffair, RequestMapping
AffairController, setAffairDone, /affair/setAffairDone, RequestMapping
AgentLoginController, isLogined, /agentLogin/isLogined, GetMapping
AgentLoginController, toAgentLogin, /agentLogin/toAgentLogin, GetMapping
AgentLoginController, getCurrentUserName, /agentLogin/getCurrentUserName, PostMapping
AgentLoginController, getCurrentUserRole, /agentLogin/getCurrentUserRole, PostMapping
AgentLoginController, updatePwd, /agentLogin/updatePwd, GetMapping
AgentLoginController, agentOfLogout, /agentLogin/agentOfLogout, PostMapping
AgentLoginController, getPubKey, /agentLogin/getPubKey, GetMapping
AgentLoginController, agentOfLogin, /agentLogin/agentOfLogin, PostMapping
AgentLoginController, CreateUserTable, /agentLogin/createUserTable, RequestMapping
AgentLoginController, getCaptcha, /agentLogin/Captcha.jpg, RequestMapping
AgentLoginController, isVerify, /agentLogin/isVerify, RequestMapping
AgentSysMsgAcquisitionCenterController, insertUserBaseInfo, /AgentSysMsgAcquisitionCenterController/insertUserBaseInfo, RequestMapping
AgentSysMsgAcquisitionCenterController, insertMessage, /AgentSysMsgAcquisitionCenterController/insertMessage, RequestMapping
AppointDataClearController, search, /appointDataClear/search, RequestMapping
AppointDataClearController, clearData, /appointDataClear/clearData, RequestMapping
AttachmentDataClearController, searchAttachment, /attachmentDataClear/searchAttachment, RequestMapping
AttachmentDataClearController, clearAttachmentData, /attachmentDataClear/clearAttachmentData, RequestMapping
AttachmentDataEncDecController, encryption, /encAnddec/encryption, RequestMapping
AttachmentDataEncDecController, decryption, /encAnddec/decryption, RequestMapping
AttachmentDataEncDecController, getDefaultPath, /encAnddec/getDefaultPath, RequestMapping
AttachmentDataEncDecController, getDirSize, /encAnddec/getDirSize, RequestMapping
AttachmentDataEncDecController, getProgress, /encAnddec/getProgress, RequestMapping
AuthorityFilterController, authSave, /auth/authSave, RequestMapping
AuthorityFilterController, getAuthList, /auth/getAuthList, RequestMapping
AuthorityFilterController, getAuthListDate, /auth/getAuthListDate, RequestMapping
BackupDataBaseController, saveDataBaseConfig, /database/saveDataBaseConfig, RequestMapping
BackupDataBaseController, getDataBaseConfigInfo, /database/getDataBaseConfigInfo, RequestMapping
BackupDataBaseController, getZipFiles, /database/getZipFiles, RequestMapping
BackupDataBaseController, doBackup, /database/doBackup, RequestMapping
BackupDataBaseController, getProcess, /database/getProcess, RequestMapping
BackupDataBaseController, replaceText, /database/replaceText, RequestMapping
BootController, startup, /boot/startup, RequestMapping
BootController, stop, /boot/stop, RequestMapping
BootController, restartService, /boot/restartService, RequestMapping
BootController, startupAll, /boot/startupAll, RequestMapping
BootController, stopAll, /boot/stopAll, RequestMapping
BootController, getAllServices, /boot/getAllServices, RequestMapping
BootController, getServiceStatus, /boot/getServiceStatus, RequestMapping
BootController, getAutoRun, /boot/getAutoRun, RequestMapping
BootController, saveBootConfig, /boot/saveBootConfig, RequestMapping
BusinessSystemLogController, queryLogInfo, /businessSystemLog/queryLogInfo, RequestMapping
BusinessSystemLogController, insertLogBehavior, /businessSystemLog/insertLogBehavior, RequestMapping
BussinessController, test, /bussine/test, RequestMapping
BussinessController, restart, /bussine/restart, RequestMapping
CollHandleLogController, query, /CollHandleLog/query, RequestMapping
CollSystemTransferController, getBackupsServices, /collSystemTransferController/getBackupsServices, RequestMapping
CollSystemTransferController, getRecoveryServices, /collSystemTransferController/getRecoveryServices, RequestMapping
CollSystemTransferController, checkServiceStatus, /collSystemTransferController/checkServiceStatus, RequestMapping
CollSystemTransferController, doAgentBackup, /collSystemTransferController/doAgentBackup, RequestMapping
CollSystemTransferController, doAgentRecovery, /collSystemTransferController/doAgentRecovery, RequestMapping
CollSystemTransferController, getCSTProcess, /collSystemTransferController/getCSTProcess, RequestMapping
GetWayController, centerController, /getway/center/{path}, RequestMapping
GetWayController, getToken, /getway/produce/{path}, RequestMapping
ConfigController, settingProperties, /config/settingCenter/{auth}, RequestMapping
ConfigController, noPermissionCenter, /config/nopermission/{auth}, RequestMapping
ConfigController, ipLimit, /config/ipLimit, RequestMapping
ConfigController, index, /config/login, RequestMapping
ConfigController, checkLogin, /config/checkLogin, RequestMapping
ConfigController, toIndex, /config/toIndex, RequestMapping
ConfigController, toBlackList, /config/toBlackList, RequestMapping
ConfigController, getBlackIpAddressData, /config/ajaxData, RequestMapping
ConfigController, findById, /config/findById, RequestMapping
ConfigController, addIp, /config/add, RequestMapping
ConfigController, updateIp, /config/update, RequestMapping
ConfigController, delete, /config/delete, RequestMapping
ConfigController, checkDog, /config/checkDog, RequestMapping
ConfigController, toTree, /config/toTree, RequestMapping
ConfigController, showDirectory, /config/showDirectory, RequestMapping
ConfigController, getChildNode, /config/getChildNode, RequestMapping
ConfigController, getOaState, /config/getOastate, RequestMapping
ConfigController, save, /config/save, RequestMapping
ConfigController, getConfigInfo, /config/getConfigInfo, RequestMapping
ConfigController, checkPwd, /config/checkPwd, RequestMapping
ConfigController, modifyDefaultUserInfo, /config/modifyDefaultUserInfo, RequestMapping
ConfigController, testConnect, /config/testConnect, RequestMapping
ConfigController, getDogNo, /config/dogNo, RequestMapping
ConfigInformationController, getConfigByKey, /configInformation/getConfigByKey, GetMapping
ConfigInformationController, updateConfigByKey, /configInformation/updateConfigByKey, PostMapping
ConfigurationController, getAllCfgData, /configuration/getAllCfgData, RequestMapping
ConfigurationController, getClusterName, /configuration/getClusterName, RequestMapping
ConfigurationController, testDBConnect, /configuration/testDBConnect, RequestMapping
ConfigurationController, getDataSource, /configuration/getDataSource, RequestMapping
