controller,method,route,col3,col4,param,col6,annotation,request
URLWhiteList,contains,/url/vuln/contains,,GetMapping,"""url""",String,RequestParam,no get
URLWhiteList,regex,/url/vuln/regex,,GetMapping,"""url""",String,RequestParam,no get
URLWhiteList,url_bypass,/url/vuln/url_bypass,,GetMapping,url,String,no AnAnnotation,no get
URLWhiteList,sec_endswith,/url/sec/endswith,,GetMapping,"""url""",String,RequestParam,no get
URLWhiteList,sec_multi_level_host,/url/sec/multi_level_host,,GetMapping,"""url""",String,RequestParam,no get
URLWhiteList,sec_array_indexOf,/url/sec/array_indexOf,,GetMapping,"""url""",String,RequestParam,no get
XSS,reflect,/xss/reflect,application/x-www-form-urlcoded,RequestMapping,xss,String,no AnAnnotation,no get
XSS,store,/xss/stored/store,application/x-www-form-urlcoded,RequestMapping,xss,String,no AnAnnotation,no get
XSS,show,/xss/stored/show,application/x-www-form-urlcoded,RequestMapping,"""xss""",String,CookieValue,no get
XSS,safe,/xss/safe,application/x-www-form-urlcoded,RequestMapping,xss,String,no AnAnnotation,no get
ooxmlXXE,ooxml_xxe,/ooxml/readxlsx,application/x-www-form-urlcoded,PostMapping,file,MultipartFile,no AnAnnotation,no get
xlsxStreamerXXE,xllx_streamer_xxe,/xlsx-streamer/readxlsx,application/x-www-form-urlcoded,PostMapping,file,MultipartFile,no AnAnnotation,no get
